excluded_study,n_test,accuracy,f1_weighted,roc_auc
Ga,47,0.6382978723404256,0.6400129132491954,0.6934865900383141
Ju,54,0.6111111111111112,0.6049382716049382,0.6710344827586207
Si,64,0.625,0.6142307692307692,0.6975369458128079
MEAN,165,0.6248029944838456,0.619727318028301,0.6873526728699142
