feature,label,family,importance_mdi,importance_perm_mean,importance_perm_std,mean_PD,mean_CO,direction
std_asym,Asymmetry (Std Dev),Asymétrie,0.17984267350974756,0.03272727272727276,0.08246433962300441,0.8804833397355922,0.8960290417752925,CO > PD
asym_swing,Swing Asymmetry,Asymétrie,0.15023786291377766,0.016969696969697,0.043644780333063835,0.02709909323520723,0.011175860639178713,PD > CO
cv_swing_L,CV Swing Time (L),Variabilité,0.10275359697901643,-0.001212121212121177,0.025612783768624792,0.09361467419622507,0.07534964522171597,PD > CO
asym_stance,Stance Asymmetry,Asymétrie,0.15029724451303023,-0.004242424242424217,0.0352662703660028,0.017124523952459024,0.008841902993697245,PD > CO
asym_auc_steps,Asym Auc Steps,Asymétrie,0.08444078812032212,-0.004848484848484824,0.048847131344508805,0.034809787258615776,0.022997962910891692,PD > CO
mean_asym,Mean Asymmetry,Asymétrie,0.11805107218872138,-0.006666666666666636,0.041122898069545145,0.003484882753134715,-0.002985669085827626,PD > CO
cv_swing_R,Cv Swing R,Variabilité,0.12604247380821423,-0.007878787878787846,0.02382982212283334,0.09907916788712455,0.06839344684174145,PD > CO
cv_stance_L,Cv Stance L,Variabilité,0.08833428796717042,-0.017575757575757543,0.04053816123197733,0.17902712374899193,0.12305018909540896,PD > CO
