feature,mean_shap,std_shap,mean_abs_shap,rank,importance_mdi,importance_perm_mean
std_asym,-0.0018391791620637732,0.027728549211038483,0.09375187128477842,1,0.1798426735097475,0.0327272727272727
asym_swing,-0.002895909939927477,0.017897201423286848,0.07106997290661511,2,0.1502378629137776,0.016969696969697
asym_stance,0.0024077335305713174,0.011855920247780791,0.06597871198568797,3,0.1502972445130302,-0.0042424242424242
cv_swing_R,0.0020907932369374376,0.01713538501664253,0.05764656305562147,4,0.1260424738082142,-0.0078787878787878
mean_asym,-0.004605550951226984,0.01484127025679135,0.04129841508176352,5,0.1180510721887213,-0.0066666666666666
cv_swing_L,-0.0003702234890412397,0.007517920290320571,0.027952127524740283,6,0.1027535969790164,-0.0012121212121211
asym_auc_steps,-0.0008877118862514329,0.010636545580390757,0.024722482384578866,7,0.0844407881203221,-0.0048484848484848
cv_stance_L,0.0012667153276689717,0.005094683703142074,0.02460885087810834,8,0.0883342879671704,-0.0175757575757575
