feature_name,rf_mdi,perm_importance_mean,perm_importance_std
std_asym,0.1985156801525137,0.1380952380952381,0.06190476190476191
mean_asym,0.1413238277528475,0.05476190476190477,0.026190476190476174
n_steps,0.0785156741699096,0.04761904761904764,0.026082026547865043
diff_auc,0.07535389357257885,0.04285714285714287,0.020756661635907947
cadence_spm,0.05675094742536986,0.035714285714285754,0.011904761904761918
mean_interval_R,0.04904679145393064,0.03333333333333336,0.024281045302822785
cv_interval_R,0.060066837708431776,0.02619047619047622,0.012821820969367882
cv_interval_L,0.05644558446817994,0.02619047619047622,0.016666666666666687
ratio_auc_L_over_R,0.07442889741773098,0.01904761904761907,0.0233284737407922
mean_abs_diff,0.07830465186467807,0.009523809523809535,0.024281045302822813
mean_interval_L,0.06829928476304395,-0.009523809523809523,0.024281045302822796
diff_peak,0.0629479292507852,-0.014285714285714268,0.028571428571428564
