model,Accuracy,Balanced_Acc,ROC-AUC
LinearSVC,0.7515151515151516,0.7488554720133667,0.8057699805068227
RF,0.7575757575757576,0.746624895572264,0.801812865497076
SVC-RBF,0.7515151515151516,0.7463909774436089,0.8110888331940963
LogReg,0.7393939393939395,0.736157059314954,0.8163074352548036
XGBoost,0.6909090909090909,0.6771595655806182,0.7587580061264271
GradBoost,0.6909090909090909,0.6765747702589808,0.7795098858256753
