feature_name,rf_mdi,perm_importance_mean,perm_importance_std
std_asym,0.26609694362857694,0.17380952380952386,0.055379539760061935
n_steps,0.12084508964395445,0.054761904761904824,0.015245533898649657
mean_asym,0.22168476921914457,0.045238095238095286,0.0360303475010037
diff_auc,0.15062671504122857,0.016666666666666684,0.023928275288383098
mean_abs_diff,0.1317748058692322,0.007142857142857184,0.033755825901804336
cv_interval_L,0.10897167659786328,-0.0071428571428571175,0.03021089890583218
