feature,mean_shap,std_shap,mean_abs_shap,rank
std_asym,-0.0018391791620637732,0.027728549211038483,0.09375187128477842,1
asym_swing,-0.002895909939927477,0.017897201423286848,0.07106997290661511,2
asym_stance,0.0024077335305713174,0.011855920247780791,0.06597871198568797,3
cv_swing_R,0.0020907932369374376,0.01713538501664253,0.05764656305562147,4
mean_asym,-0.004605550951226984,0.01484127025679135,0.04129841508176352,5
cv_swing_L,-0.0003702234890412397,0.007517920290320571,0.027952127524740283,6
asym_auc_steps,-0.0008877118862514329,0.010636545580390757,0.024722482384578866,7
cv_stance_L,0.0012667153276689717,0.005094683703142074,0.02460885087810834,8
