set_name,feature,importance_mean,importance_std,cv_importance
1_Complet,Asymmetry (Std Dev),0.0387878787878788,0.03747787838482501,0.9662265271982419
1_Complet,Mean Asymmetry,0.0084848484848485,0.019769098703394054,
1_Complet,Mean Abs. Difference,0.012121212121212125,0.01014133365495849,0.8366599575096288
1_Complet,AUC Difference (L-R),0.0096969696969697,0.017814470856604918,
1_Complet,CV Step Interval (L),0.007272727272727289,0.016442012080303697,
1_Complet,Total Step Count,0.00848484848484849,0.020498829727621536,
1_Complet,N Steps L Seg,0.01212121212121213,0.014342011595393025,1.1832158590046153
1_Complet,N Steps R Seg,0.00727272727272728,0.009696969696969704,
1_Complet,Mean Stance L,0.010909090909090908,0.012941913032765215,1.186341919255469
1_Complet,Mean Stance R,0.008484848484848491,0.01247955168604486,
1_Complet,Mean Swing L,0.0024242424242424225,0.017397212235645228,
1_Complet,Mean Swing R,0.0012121212121212113,0.010427060929748629,
1_Complet,Cv Stance L,0.012121212121212133,0.015804127042915523,1.3038403734736985
1_Complet,Cv Stance R,0.0012121212121212152,0.013497610576557621,
1_Complet,CV Swing Time (L),0.0036363636363636502,0.023814403278046684,
1_Complet,Cv Swing R,0.010909090909090906,0.022152323493935845,2.030629467469752
1_Complet,Stance Asymmetry,0.025454545454545473,0.0328393143858038,1.2901158716163106
1_Complet,Swing Asymmetry,0.02545454545454548,0.03782905826503574,1.4861415163137004
1_Complet,Asym Auc Steps,-0.002424242424242422,0.014646116331629773,
2_Réduit_Bilatéral,Asymmetry (Std Dev),0.043636363636363654,0.04257980138242495,0.9757870926521173
2_Réduit_Bilatéral,Mean Asymmetry,0.02060606060606062,0.016969696969696933,0.8235293717993075
2_Réduit_Bilatéral,Mean Abs. Difference,0.016969696969696985,0.015042028661807092,0.8864052081933246
2_Réduit_Bilatéral,AUC Difference (L-R),0.012121212121212133,0.02201927530252722,1.8165900625898137
2_Réduit_Bilatéral,Stance Asymmetry,0.03030303030303032,0.03274971172389407,1.0807404512240688
2_Réduit_Bilatéral,Swing Asymmetry,0.0484848484848485,0.026278161683247047,0.5419870735384869
2_Réduit_Bilatéral,Asym Auc Steps,0.013333333333333345,0.017312553766164498,1.2984414350792286
2_Réduit_Bilatéral,CV Step Interval (L),0.015757575757575772,0.019393939393939415,1.2307691526627271
2_Réduit_Bilatéral,Mean Stance Bilat,0.015757575757575776,0.009847319278346615,0.6249259914670773
2_Réduit_Bilatéral,Mean Swing Bilat,0.01212121212121214,0.027905125898718405,2.3021726967150173
2_Réduit_Bilatéral,Cv Stance Bilat,0.002424242424242448,0.0208541218594973,
2_Réduit_Bilatéral,Cv Swing Bilat,0.024242424242424246,0.030424000964875443,1.2549899880327748
2_Réduit_Bilatéral,Total Step Count,0.018181818181818195,0.02571297386132899,1.4142134845913519
3_Compact_Clinique,Mean Asymmetry,0.012121212121212128,0.04403855060505439,3.633180125179625
3_Compact_Clinique,Stance Asymmetry,0.06545454545454546,0.08143794924722823,1.2441908722686263
3_Compact_Clinique,CV Step Interval (L),-0.016969696969696958,0.05061966792199053,
3_Compact_Clinique,Total Step Count,0.009696969696969707,0.06258584554388166,
