task,n_train,n_test,accuracy,f1_weighted,roc_auc,mae,rmse,r2,spearman_r,spearman_p
PD_vs_CO,123,42,0.619,0.6021,0.7257,,,,,
UPDRSM_regression,68,23,,,,6.7867,7.9251,-0.1949,-0.0535,0.8083
